loan_id,zipcode,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,event_timestamp,created_timestamp
10235,55738,25,180000,MORTGAGE,3.0,VENTURE,9950,11.26,0,2021-08-22 20:41:31.683000+00:00,2021-08-22 20:41:31.683000+00:00
22172,17748,26,96300,MORTGAGE,10.0,PERSONAL,15000,6.17,0,2021-03-23 17:11:17.289000+00:00,2021-03-23 17:11:17.289000+00:00
15192,72944,24,48000,RENT,7.0,MEDICAL,5600,11.14,0,2021-06-20 16:21:21.333000+00:00,2021-06-20 16:21:21.333000+00:00
27289,37326,28,55000,RENT,2.0,DEBTCONSOLIDATION,3200,12.98,0,2021-01-17 11:54:29.712000+00:00,2021-01-17 11:54:29.712000+00:00
20955,1903,23,45000,RENT,2.0,PERSONAL,12000,5.79,0,2021-04-08 05:27:57.450000+00:00,2021-04-08 05:27:57.450000+00:00
17813,73651,21,41000,RENT,4.0,DEBTCONSOLIDATION,8000,9.91,1,2021-05-18 06:35:50.502000+00:00,2021-05-18 06:35:50.502000+00:00
29279,93666,27,85000,RENT,11.0,DEBTCONSOLIDATION,6000,13.43,0,2020-12-23 03:10:16.696000+00:00,2020-12-23 03:10:16.696000+00:00
31440,19120,29,72000,MORTGAGE,5.0,PERSONAL,10000,6.17,0,2020-11-25 14:07:32.894000+00:00,2020-11-25 14:07:32.894000+00:00
10144,24506,24,60000,RENT,2.0,PERSONAL,25000,11.11,1,2021-08-24 00:31:43.856000+00:00,2021-08-24 00:31:43.856000+00:00
30609,51347,28,160000,RENT,7.0,PERSONAL,8000,12.69,0,2020-12-06 04:19:37.244000+00:00,2020-12-06 04:19:37.244000+00:00
26332,33012,33,67800,RENT,3.0,HOMEIMPROVEMENT,18000,10.08,0,2021-01-29 16:39:09.378000+00:00,2021-01-29 16:39:09.378000+00:00
17751,60074,23,36000,RENT,2.0,MEDICAL,8000,7.51,1,2021-05-19 01:33:46.928000+00:00,2021-05-19 01:33:46.928000+00:00
20989,75455,23,76000,MORTGAGE,8.0,DEBTCONSOLIDATION,6000,11.49,1,2021-04-07 19:03:55.539000+00:00,2021-04-07 19:03:55.539000+00:00
13462,90502,22,39996,MORTGAGE,7.0,MEDICAL,6000,12.42,0,2021-07-12 17:33:33.854000+00:00,2021-07-12 17:33:33.854000+00:00
35778,37134,37,69996,RENT,5.0,MEDICAL,20400,13.06,0,2020-10-01 07:08:25.568000+00:00,2020-10-01 07:08:25.568000+00:00
31780,60467,32,75333,MORTGAGE,1.0,EDUCATION,15000,11.58,0,2020-11-21 06:07:13.786000+00:00,2020-11-21 06:07:13.786000+00:00
31758,77534,31,75000,MORTGAGE,0.0,EDUCATION,20000,14.74,0,2020-11-21 12:51:00.905000+00:00,2020-11-21 12:51:00.905000+00:00
22645,50157,24,105000,MORTGAGE,0.0,VENTURE,18000,8.94,0,2021-03-17 16:29:54.236000+00:00,2021-03-17 16:29:54.236000+00:00
12962,26187,22,36000,MORTGAGE,2.0,DEBTCONSOLIDATION,10000,8.32,0,2021-07-19 02:30:30.189000+00:00,2021-07-19 02:30:30.189000+00:00
28900,74422,29,48000,MORTGAGE,3.0,VENTURE,3250,6.76,0,2020-12-27 23:06:23.879000+00:00,2020-12-27 23:06:23.879000+00:00
18444,17606,23,63000,MORTGAGE,7.0,PERSONAL,6800,7.66,0,2021-05-10 05:34:32.687000+00:00,2021-05-10 05:34:32.687000+00:00
29946,31569,30,48000,RENT,4.0,MEDICAL,7500,7.49,0,2020-12-14 15:08:14.505000+00:00,2020-12-14 15:08:14.505000+00:00
14764,42160,21,60000,RENT,2.0,MEDICAL,5000,8.49,0,2021-06-26 03:16:48.916000+00:00,2021-06-26 03:16:48.916000+00:00
34477,81211,30,223800,MORTGAGE,15.0,HOMEIMPROVEMENT,25000,11.83,1,2020-10-17 21:06:49.272000+00:00,2020-10-17 21:06:49.272000+00:00
32926,33054,29,76000,RENT,2.0,VENTURE,13000,10.25,0,2020-11-06 15:33:41.145000+00:00,2020-11-06 15:33:41.145000+00:00
26946,68875,31,39420,RENT,0.0,MEDICAL,2500,15.27,0,2021-01-21 20:49:52.518000+00:00,2021-01-21 20:49:52.518000+00:00
37204,70429,36,70000,MORTGAGE,0.0,VENTURE,6000,13.79,0,2020-09-13 02:55:47.779000+00:00,2020-09-13 02:55:47.779000+00:00
34535,77840,33,71000,RENT,17.0,HOMEIMPROVEMENT,19600,16.07,1,2020-10-17 03:22:17.778000+00:00,2020-10-17 03:22:17.778000+00:00
29433,3302,30,54000,RENT,1.0,EDUCATION,6300,10.0,0,2020-12-21 04:03:46.865000+00:00,2020-12-21 04:03:46.865000+00:00
27137,11354,31,34000,MORTGAGE,15.0,PERSONAL,13000,10.99,0,2021-01-19 10:24:17.078000+00:00,2021-01-19 10:24:17.078000+00:00
36103,27712,40,35820,RENT,0.0,MEDICAL,3275,8.88,0,2020-09-27 03:43:24.949000+00:00,2020-09-27 03:43:24.949000+00:00
21742,45856,21,15600,RENT,5.0,VENTURE,2700,20.62,1,2021-03-29 04:43:27.338000+00:00,2021-03-29 04:43:27.338000+00:00
28272,85620,29,42000,RENT,3.0,MEDICAL,5000,15.99,0,2021-01-04 23:12:37.996000+00:00,2021-01-04 23:12:37.996000+00:00
11110,80723,22,44000,RENT,1.0,EDUCATION,16000,16.35,1,2021-08-11 17:01:53.096000+00:00,2021-08-11 17:01:53.096000+00:00
16285,60079,21,52000,MORTGAGE,5.0,DEBTCONSOLIDATION,5000,7.9,0,2021-06-06 18:00:34.024000+00:00,2021-06-06 18:00:34.024000+00:00
32505,92571,29,88000,RENT,6.0,EDUCATION,12000,12.53,0,2020-11-12 00:20:40.100000+00:00,2020-11-12 00:20:40.100000+00:00
11031,8629,23,103000,RENT,4.0,DEBTCONSOLIDATION,16800,13.11,0,2021-08-12 17:11:50.477000+00:00,2021-08-12 17:11:50.477000+00:00
14415,21521,22,48048,RENT,2.0,MEDICAL,5000,11.36,0,2021-06-30 14:02:19.119000+00:00,2021-06-30 14:02:19.119000+00:00
29261,54876,29,61628,RENT,2.0,MEDICAL,6000,16.95,1,2020-12-23 08:40:38.885000+00:00,2020-12-23 08:40:38.885000+00:00
13606,51105,24,80000,RENT,7.0,EDUCATION,4400,19.03,0,2021-07-10 21:30:36.349000+00:00,2021-07-10 21:30:36.349000+00:00
19529,28392,21,45000,RENT,5.0,VENTURE,10000,6.62,0,2021-04-26 09:40:35.239000+00:00,2021-04-26 09:40:35.239000+00:00
12561,35073,25,137400,RENT,4.0,EDUCATION,3000,13.06,1,2021-07-24 05:10:24.491000+00:00,2021-07-24 05:10:24.491000+00:00
35304,66619,31,85000,RENT,1.0,MEDICAL,18500,7.51,1,2020-10-07 08:08:09.854000+00:00,2020-10-07 08:08:09.854000+00:00
16771,30085,23,33000,RENT,0.0,EDUCATION,7000,6.62,0,2021-05-31 13:20:34.946000+00:00,2021-05-31 13:20:34.946000+00:00
10431,96143,24,18287,OWN,3.0,HOMEIMPROVEMENT,3000,11.99,1,2021-08-20 08:44:10.080000+00:00,2021-08-20 08:44:10.080000+00:00
14074,93007,21,42000,MORTGAGE,5.0,EDUCATION,7000,15.23,0,2021-07-04 22:20:59.459000+00:00,2021-07-04 22:20:59.459000+00:00
24792,75503,25,72000,MORTGAGE,7.0,MEDICAL,25000,11.89,0,2021-02-18 07:44:07.691000+00:00,2021-02-18 07:44:07.691000+00:00
26926,98112,27,31200,MORTGAGE,1.0,DEBTCONSOLIDATION,12300,12.53,0,2021-01-22 02:56:57.171000+00:00,2021-01-22 02:56:57.171000+00:00
19287,2482,25,53467,MORTGAGE,5.0,MEDICAL,25000,15.7,1,2021-04-29 11:42:13.545000+00:00,2021-04-29 11:42:13.545000+00:00
23699,31518,23,147000,MORTGAGE,2.0,MEDICAL,24000,10.99,0,2021-03-04 06:04:55.001000+00:00,2021-03-04 06:04:55.001000+00:00
11478,66202,24,28800,MORTGAGE,8.0,HOMEIMPROVEMENT,1400,8.9,1,2021-08-07 00:27:39.473000+00:00,2021-08-07 00:27:39.473000+00:00
26277,61322,28,12000,RENT,1.0,HOMEIMPROVEMENT,1000,16.32,1,2021-01-30 09:28:37.175000+00:00,2021-01-30 09:28:37.175000+00:00
38209,42544,40,45996,RENT,4.0,DEBTCONSOLIDATION,20000,14.61,1,2020-08-31 07:30:08.944000+00:00,2020-08-31 07:30:08.944000+00:00
11337,36877,26,40000,RENT,1.0,MEDICAL,1400,7.74,0,2021-08-08 19:35:33.280000+00:00,2021-08-08 19:35:33.280000+00:00
22803,32926,25,110000,MORTGAGE,1.0,DEBTCONSOLIDATION,10000,12.69,0,2021-03-15 16:09:59.474000+00:00,2021-03-15 16:09:59.474000+00:00
33492,28146,29,110000,MORTGAGE,0.0,EDUCATION,8500,7.51,0,2020-10-30 10:25:23.453000+00:00,2020-10-30 10:25:23.453000+00:00
21032,7058,23,60000,RENT,0.0,PERSONAL,12000,7.88,0,2021-04-07 05:54:42.534000+00:00,2021-04-07 05:54:42.534000+00:00
18689,62963,22,45004,RENT,1.0,PERSONAL,9000,14.35,0,2021-05-07 02:37:50.683000+00:00,2021-05-07 02:37:50.683000+00:00
11612,53913,24,100000,RENT,4.0,MEDICAL,15000,7.49,0,2021-08-05 07:28:14.295000+00:00,2021-08-05 07:28:14.295000+00:00
29482,25315,32,52500,MORTGAGE,9.0,HOMEIMPROVEMENT,7000,12.99,0,2020-12-20 13:04:26.464000+00:00,2020-12-20 13:04:26.464000+00:00
11844,4210,23,40000,RENT,3.0,DEBTCONSOLIDATION,2400,8.9,0,2021-08-02 08:30:08.316000+00:00,2021-08-02 08:30:08.316000+00:00
19552,10980,22,70000,MORTGAGE,1.0,MEDICAL,8400,7.88,0,2021-04-26 02:38:26.887000+00:00,2021-04-26 02:38:26.887000+00:00
12669,72619,22,35000,RENT,0.0,EDUCATION,3250,6.54,0,2021-07-22 20:08:11.362000+00:00,2021-07-22 20:08:11.362000+00:00
38114,41531,50,41496,RENT,9.0,MEDICAL,5000,15.31,1,2020-09-01 12:33:46.048000+00:00,2020-09-01 12:33:46.048000+00:00
10015,2543,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,30000,10.65,0,2021-08-25 15:59:22.871000+00:00,2021-08-25 15:59:22.871000+00:00
37712,19036,41,180000,RENT,16.0,DEBTCONSOLIDATION,14000,6.03,0,2020-09-06 15:32:01.582000+00:00,2020-09-06 15:32:01.582000+00:00
28628,38004,34,80000,RENT,4.0,HOMEIMPROVEMENT,5000,6.17,0,2020-12-31 10:18:39.165000+00:00,2020-12-31 10:18:39.165000+00:00
22313,78255,23,100000,MORTGAGE,4.0,MEDICAL,15000,13.49,0,2021-03-21 22:03:23.483000+00:00,2021-03-21 22:03:23.483000+00:00
21631,98366,24,26000,RENT,1.0,MEDICAL,12250,11.49,1,2021-03-30 14:40:44.164000+00:00,2021-03-30 14:40:44.164000+00:00
34290,53126,33,150000,OWN,17.0,PERSONAL,20000,11.48,0,2020-10-20 06:18:59.782000+00:00,2020-10-20 06:18:59.782000+00:00
23783,49766,21,151000,MORTGAGE,5.0,VENTURE,8000,11.12,0,2021-03-03 04:23:11.456000+00:00,2021-03-03 04:23:11.456000+00:00
20119,86017,24,75000,MORTGAGE,0.0,EDUCATION,7000,11.99,0,2021-04-18 21:11:47.963000+00:00,2021-04-18 21:11:47.963000+00:00
